timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id,rule.mitre.technique,iso_score,svm_score,ae_score,ensemble_score,risky
"Aug 02, 2025 @ 14:53:35.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 08:26:45.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4.0,5554.0,['Container Administration Command'],0.6985498377872373,0.7721110567887984,0.7755465446436124,0.7437172155446181,1
"Aug 02, 2025 @ 09:15:03.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 17:04:02.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 11:18:30.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 16:12:04.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341853976216842,0.6888951891429383,0.7085337341858459,1
"Aug 02, 2025 @ 14:50:29.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341853976216842,0.6888951891429383,0.7085337341858459,1
"Aug 02, 2025 @ 15:59:03.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 13:25:40.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831985002538996,0.8219049864575086,0.7531799613662491,1
"Aug 02, 2025 @ 14:45:28.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 14:24:30.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413690698201638,0.7043666151927424,0.7437893664670463,1
"Aug 02, 2025 @ 14:58:22.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4.0,5553.0,['Container Administration Command'],0.6969756974273417,0.7721112591753222,0.7755465820473633,0.7430876313377422,1
"Aug 02, 2025 @ 13:29:15.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341853976216842,0.6888951891429383,0.7085337341858459,1
"Aug 02, 2025 @ 17:47:48.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831985002538996,0.8219049864575086,0.7531799613662491,1
